Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
244	1.56E+02	831.07	0.0012033	-264650	-264650	-888.95	1716.5	2095.7	1341	-4.30E-07	0.0036933	0.17697	0.026452	0.0035481	281.84	663380	707410	3094.9	1065.8	1246.7	226.9	0.00034362	7.08E-06	0.010697
245	1.71E+02	830.22	0.0012045	-262550	-262550	-880.37	1721.5	2100.5	1336.9	-4.29E-07	0.0035969	0.17665	0.026362	0.0038668	258.61	664450	708650	3083.7	1068.7	1249.7	227.31	0.00033712	7.11E-06	0.010772
246	1.87E+02	829.36	0.0012057	-260450	-260450	-871.8	1726.5	2105.3	1332.8	-4.28E-07	0.0035035	0.17634	0.026271	0.0042108	237.49	665510	709900	3072.7	1071.7	1252.7	227.73	0.00033077	7.15E-06	0.010847
247	2.04E+02	828.51	0.001207	-258340	-258340	-863.25	1731.6	2110.2	1328.8	-4.27E-07	0.0034131	0.17603	0.026182	0.0045818	218.26	666580	711140	3061.8	1074.7	1255.7	228.14	0.00032456	7.18E-06	0.010923
248	2.23E+02	827.66	0.0012082	-256230	-256230	-854.72	1736.8	2115.1	1324.7	-4.25E-07	0.0033256	0.17572	0.026092	0.0049817	200.74	667650	712390	3051	1077.7	1258.7	228.56	0.00031848	7.21E-06	0.010999
249	2.43E+02	826.81	0.0012095	-254110	-254110	-846.19	1741.9	2120.1	1320.7	-4.24E-07	0.0032409	0.17541	0.026004	0.0054123	184.76	668720	713640	3040.4	1080.7	1261.8	228.97	0.00031254	0.00000724	0.011075
250	2.65E+02	825.96	0.0012107	-251990	-251990	-837.69	1747.2	2125.1	1316.7	-4.23E-07	0.0031588	0.17511	0.025915	0.0058757	170.19	669800	714900	3029.9	1083.7	1264.8	229.38	0.00030672	7.27E-06	0.011151
251	2.89E+02	825.11	0.001212	-249860	-249860	-829.19	1752.4	2130.2	1312.7	-4.22E-07	0.0030793	0.17481	0.025827	0.0063741	156.88	670880	716160	3019.5	1086.7	1267.9	229.79	0.00030103	7.30E-06	0.011228
252	3.14E+02	824.26	0.0012132	-247730	-247730	-820.71	1757.7	2135.4	1308.7	-4.21E-07	0.0030023	0.17452	0.02574	0.0069097	144.72	671960	717420	3009.2	1089.8	1271	230.2	0.00029547	7.33E-06	0.011306
253	3.42E+02	823.41	0.0012145	-245590	-245590	-812.25	1763.1	2140.6	1304.7	-4.19E-07	0.0029276	0.17423	0.025653	0.0074849	133.6	673040	718680	2999.1	1092.8	1274.1	230.6	0.00029002	7.37E-06	0.011383
254	3.71E+02	822.56	0.0012157	-243450	-243450	-803.79	1768.4	2145.8	1300.8	-0.000000418	0.0028552	0.17394	0.025566	0.0081022	123.42	674130	719940	2989.1	1095.9	1277.2	231.01	0.0002847	7.40E-06	0.011461
255	4.03E+02	821.71	0.001217	-241300	-241300	-795.35	1773.9	2151.2	1296.8	-4.17E-07	0.0027851	0.17365	0.02548	0.0087641	114.1	675220	721210	2979.2	1099	1280.4	231.41	0.00027949	7.43E-06	0.011539
256	4.37E+02	820.86	0.0012182	-239150	-239140	-786.92	1779.3	2156.5	1292.9	-4.15E-07	0.002717	0.17336	0.025394	0.0094735	105.56	676310	722480	2969.4	1102.1	1283.5	231.82	0.00027439	7.46E-06	0.011618
257	4.74E+02	820.01	0.0012195	-236990	-236990	-778.5	1784.8	2161.9	1289	-4.14E-07	0.0026511	0.17308	0.025309	0.010233	97.72	677400	723750	2959.8	1105.2	1286.7	232.22	0.0002694	7.49E-06	0.011696
258	5.14E+02	819.16	0.0012208	-234820	-234820	-770.09	1790.4	2167.4	1285.1	-4.13E-07	0.0025871	0.1728	0.025223	0.011046	90.526	678500	725030	2950.2	1108.3	1289.9	232.62	0.00026451	7.52E-06	0.011775
259	5.57E+02	818.32	0.001222	-232650	-232650	-761.7	1796	2172.9	1281.3	-4.12E-07	0.002525	0.17253	0.025138	0.011916	83.919	679600	726300	2940.8	1111.5	1293.1	233.02	0.00025973	0.000007555	0.011855
260	6.02E+02	817.47	0.0012233	-230480	-230470	-753.32	1801.6	2178.5	1277.4	-4.10E-07	0.0024648	0.17225	0.025054	0.012846	77.845	680700	727580	2931.5	1114.6	1296.3	233.42	0.00025505	7.59E-06	0.011935
261	6.51E+02	816.62	0.0012246	-228290	-228290	-744.94	1807.2	2184.2	1273.6	-4.09E-07	0.0024063	0.17198	0.02497	0.013839	72.259	681800	728870	2922.3	1117.8	1299.6	233.81	0.00025048	7.62E-06	0.012015
262	7.04E+02	815.77	0.0012258	-226110	-226110	-736.58	1812.9	2189.9	1269.7	-4.08E-07	0.0023496	0.17171	0.024886	0.014899	67.117	682910	730150	2913.3	1121	1302.8	234.21	0.00024599	7.65E-06	0.012095
263	7.60E+02	814.93	0.0012271	-223910	-223910	-728.23	1818.7	2195.6	1265.9	-4.06E-07	0.0022945	0.17145	0.024802	0.016031	62.38	684020	731440	2904.3	1124.2	1306.1	234.6	0.00024161	7.68E-06	0.012176
264	8.20E+02	814.08	0.0012284	-221720	-221710	-719.88	1824.4	2201.4	1262.1	-4.05E-07	0.0022411	0.17118	0.024719	0.017237	58.015	685130	732730	2895.4	1127.4	1309.4	234.99	0.00023731	7.71E-06	0.012257
265	8.85E+02	813.23	0.0012297	-219510	-219510	-711.55	1830.2	2207.3	1258.4	-4.03E-07	0.0021892	0.17092	0.024635	0.018522	53.989	686240	734020	2886.7	1130.6	1312.7	235.39	0.00023311	7.74E-06	0.012339
266	9.54E+02	812.39	0.0012309	-217300	-217300	-703.22	1836.1	2213.2	1254.6	-4.02E-07	0.0021388	0.17066	0.024552	0.019891	50.274	687360	735310	2878	1133.9	1316.1	235.78	0.00022899	7.77E-06	0.012421
