Temperature (K)	Pressure (Pa)	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Therm. Cond. (v, W/m*K)"	"Viscosity (v, Pa*s)"
238	101330	1.4845	0.67361	169680	237940	6633.7	716.41	1005.9	309.39	3.56E-06	0.021296	0.000015445
239	101330	1.4783	0.67645	170400	238940	6637.9	716.42	1005.9	310.04	3.53E-06	0.021375	0.000015498
240	101330	1.4721	0.6793	171120	239950	6642.1	716.43	1005.9	310.69	3.50E-06	0.021454	0.000015551
241	101330	1.466	0.68214	171840	240950	6646.3	716.44	1005.9	311.34	3.48E-06	0.021532	0.000015604
242	101330	1.4599	0.68499	172550	241960	6650.4	716.46	1005.9	311.99	3.45E-06	0.021611	0.000015657
243	101330	1.4538	0.68783	173270	242970	6654.6	716.47	1005.8	312.63	3.42E-06	0.021689	0.000015709
244	101330	1.4479	0.69068	173990	243970	6658.7	716.48	1005.8	313.28	3.40E-06	0.021768	0.000015762
245	101330	1.4419	0.69352	174710	244980	6662.8	716.5	1005.8	313.92	3.37E-06	0.021846	0.000015814
246	101330	1.436	0.69636	175420	245980	6666.9	716.51	1005.8	314.56	3.34E-06	0.021924	0.000015867
247	101330	1.4302	0.69921	176140	246990	6671	716.53	1005.8	315.2	3.32E-06	0.022002	0.000015919
248	101330	1.4244	0.70205	176860	247990	6675.1	716.54	1005.8	315.84	3.29E-06	0.02208	0.000015971
249	101330	1.4186	0.7049	177580	249000	6679.1	716.56	1005.8	316.48	3.27E-06	0.022158	0.000016023
250	101330	1.4129	0.70774	178290	250010	6683.1	716.58	1005.8	317.12	3.24E-06	0.022236	0.000016075
251	101330	1.4073	0.71059	179010	251010	6687.2	716.6	1005.8	317.75	3.22E-06	0.022313	0.000016127
252	101330	1.4017	0.71343	179730	252020	6691.2	716.61	1005.8	318.39	3.19E-06	0.022391	0.000016179
253	101330	1.3961	0.71627	180450	253020	6695.1	716.63	1005.8	319.02	3.17E-06	0.022468	0.000016231
254	101330	1.3906	0.71912	181170	254030	6699.1	716.65	1005.8	319.65	3.15E-06	0.022546	0.000016282
255	101330	1.3851	0.72196	181880	255040	6703.1	716.67	1005.8	320.28	3.12E-06	0.022623	0.000016334
256	101330	1.3797	0.7248	182600	256040	6707	716.69	1005.8	320.91	3.10E-06	0.0227	0.000016386
257	101330	1.3743	0.72765	183320	257050	6710.9	716.71	1005.8	321.53	3.08E-06	0.022777	0.000016437
258	101330	1.3689	0.73049	184040	258050	6714.8	716.73	1005.8	322.16	3.05E-06	0.022854	0.000016489
259	101330	1.3636	0.73333	184750	259060	6718.7	716.75	1005.8	322.79	0.00000303	0.022931	0.00001654
260	101330	1.3584	0.73618	185470	260060	6722.6	716.78	1005.8	323.41	3.01E-06	0.023008	0.000016591
261	101330	1.3531	0.73902	186190	261070	6726.5	716.8	1005.8	324.03	0.000002985	0.023084	0.000016642
262	101330	1.348	0.74186	186910	262080	6730.3	716.82	1005.8	324.65	2.96E-06	0.023161	0.000016693
263	101330	1.3428	0.74471	187620	263080	6734.1	716.85	1005.8	325.27	2.94E-06	0.023238	0.000016744
264	101330	1.3377	0.74755	188340	264090	6737.9	716.87	1005.8	325.89	2.92E-06	0.023314	0.000016795
265	101330	1.3326	0.75039	189060	265090	6741.8	716.9	1005.8	326.51	2.90E-06	0.02339	0.000016846
266	101330	1.3276	0.75323	189780	266100	6745.5	716.92	1005.9	327.12	2.88E-06	0.023467	0.000016897
267	101330	1.3226	0.75608	190500	267110	6749.3	716.95	1005.9	327.74	2.85E-06	0.023543	0.000016947
268	101330	1.3177	0.75892	191210	268110	6753.1	716.97	1005.9	328.35	2.83E-06	0.023619	0.000016998
269	101330	1.3127	0.76176	191930	269120	6756.8	717	1005.9	328.96	2.81E-06	0.023695	0.000017049
270	101330	1.3079	0.7646	192650	270120	6760.6	717.03	1005.9	329.57	2.79E-06	0.023771	0.000017099
271	101330	1.303	0.76745	193370	271130	6764.3	717.06	1005.9	330.18	0.000002772	0.023846	0.000017149
272	101330	1.2982	0.77029	194090	272130	6768	717.09	1005.9	330.79	2.75E-06	0.023922	0.0000172
273	101330	1.2934	0.77313	194800	273140	6771.7	717.11	1005.9	331.4	2.73E-06	0.023998	0.00001725
274	101330	1.2887	0.77597	195520	274150	6775.3	717.15	1006	332.01	2.71E-06	0.024073	0.0000173
275	101330	1.284	0.77881	196240	275150	6779	717.18	1006	332.61	2.69E-06	0.024149	0.00001735
276	101330	1.2793	0.78166	196960	276160	6782.7	717.21	1006	333.21	2.67E-06	0.024224	0.0000174
277	101330	1.2747	0.7845	197680	277160	6786.3	717.24	1006	333.82	2.65E-06	0.024299	0.00001745
278	101330	1.2701	0.78734	198390	278170	6789.9	717.27	1006	334.42	2.63E-06	0.024374	0.0000175
279	101330	1.2655	0.79018	199110	279180	6793.5	717.3	1006	335.02	2.61E-06	0.024449	0.00001755
280	101330	1.261	0.79302	199830	280180	6797.1	717.34	1006.1	335.62	2.60E-06	0.024524	0.0000176
281	101330	1.2565	0.79586	200550	281190	6800.7	717.37	1006.1	336.22	2.58E-06	0.024599	0.000017649
282	101330	1.252	0.79871	201270	282190	6804.3	717.41	1006.1	336.81	2.56E-06	0.024674	0.000017699
283	101330	1.2476	0.80155	201980	283200	6807.9	717.44	1006.1	337.41	2.54E-06	0.024749	0.000017748
284	101330	1.2432	0.80439	202700	284210	6811.4	717.48	1006.2	338	2.52E-06	0.024824	0.000017798
285	101330	1.2388	0.80723	203420	285210	6814.9	717.52	1006.2	338.6	2.50E-06	0.024898	0.000017847
286	101330	1.2345	0.81007	204140	286220	6818.5	717.55	1006.2	339.19	2.49E-06	0.024973	0.000017897
287	101330	1.2301	0.81291	204860	287230	6822	717.59	1006.2	339.78	2.47E-06	0.025047	0.000017946
288	101330	1.2259	0.81575	205580	288230	6825.5	717.63	1006.3	340.37	2.45E-06	0.025121	0.000017995
289	101330	1.2216	0.81859	206290	289240	6829	717.67	1006.3	340.96	2.43E-06	0.025195	0.000018044
290	101330	1.2174	0.82144	207010	290240	6832.4	717.71	1006.3	341.55	2.42E-06	0.02527	0.000018093
291	101330	1.2132	0.82428	207730	291250	6835.9	717.75	1006.3	342.14	2.40E-06	0.025344	0.000018142
292	101330	1.209	0.82712	208450	292260	6839.4	717.79	1006.4	342.72	2.38E-06	0.025418	0.000018191
293	101330	1.2049	0.82996	209170	293260	6842.8	717.83	1006.4	343.31	2.36E-06	0.025492	0.00001824
294	101330	1.2008	0.8328	209890	294270	6846.2	717.88	1006.4	343.89	2.35E-06	0.025565	0.000018288
295	101330	1.1967	0.83564	210610	295280	6849.7	717.92	1006.5	344.47	2.33E-06	0.025639	0.000018337
296	101330	1.1926	0.83848	211320	296280	6853.1	717.96	1006.5	345.06	2.31E-06	0.025713	0.000018386
297	101330	1.1886	0.84132	212040	297290	6856.5	718.01	1006.5	345.64	2.30E-06	0.025786	0.000018434
298	101330	1.1846	0.84416	212760	298300	6859.8	718.05	1006.6	346.22	2.28E-06	0.02586	0.000018483
299	101330	1.1806	0.847	213480	299300	6863.2	718.1	1006.6	346.79	2.27E-06	0.025933	0.000018531
300	101330	1.1767	0.84984	214200	300310	6866.6	718.14	1006.6	347.37	2.25E-06	0.026006	0.000018579
301	101330	1.1728	0.85268	214920	301320	6869.9	718.19	1006.7	347.95	2.23E-06	0.02608	0.000018628
302	101330	1.1689	0.85552	215640	302320	6873.3	718.24	1006.7	348.52	2.22E-06	0.026153	0.000018676
303	101330	1.165	0.85836	216360	303330	6876.6	718.29	1006.7	349.1	0.000002202	0.026226	0.000018724
304	101330	1.1612	0.8612	217070	304340	6879.9	718.34	1006.8	349.67	2.19E-06	0.026299	0.000018772
305	101330	1.1574	0.86404	217790	305340	6883.2	718.39	1006.8	350.24	2.17E-06	0.026372	0.00001882
306	101330	1.1536	0.86688	218510	306350	6886.5	718.44	1006.9	350.81	2.16E-06	0.026445	0.000018868
307	101330	1.1498	0.86972	219230	307360	6889.8	718.49	1006.9	351.38	2.14E-06	0.026517	0.000018916
308	101330	1.146	0.87256	219950	308360	6893.1	718.54	1006.9	351.95	2.13E-06	0.02659	0.000018964
309	101330	1.1423	0.8754	220670	309370	6896.3	718.59	1007	352.52	2.11E-06	0.026663	0.000019011
310	101330	1.1386	0.87824	221390	310380	6899.6	718.65	1007	353.09	2.10E-06	0.026735	0.000019059
311	101330	1.135	0.88108	222110	311380	6902.8	718.7	1007.1	353.66	2.08E-06	0.026808	0.000019107
312	101330	1.1313	0.88392	222830	312390	6906.1	718.76	1007.1	354.22	2.07E-06	0.02688	0.000019154
313	101330	1.1277	0.88676	223550	313400	6909.3	718.81	1007.2	354.79	0.000002052	0.026952	0.000019202
