Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
299.62	694980	1201.1	0.00083255	236060	236640	1126.9	913.91	1430.8	499.66	-8.45E-09	0.00019136	0.080505	0.0078844	33.806	0.029581	392520	413070	1715.7	841.4	1041.3	143.96	0.000025312	1.18E-05	0.013972
299.96	701980	1199.8	0.00083346	236550	237130	1128.5	914.39	1432.3	498.08	-5.62E-09	0.00019055	0.080358	0.0078391	34.151	0.029281	392690	413250	1715.6	842.49	1043.5	143.88	0.000025239	1.18E-05	0.014007
300.3	709030	1198.5	0.00083436	237030	237620	1130.1	914.87	1433.7	496.5	-2.75E-09	0.00018975	0.080213	0.0077938	34.5	0.028986	392860	413420	1715.5	843.58	1045.8	143.81	0.000025166	1.18E-05	0.014042
300.64	716140	1197.2	0.00083528	237510	238110	1131.7	915.35	1435.2	494.91	1.41E-10	0.00018894	0.080067	0.0077486	34.851	0.028694	393040	413580	1715.4	844.66	1048.1	143.74	0.000025093	1.18E-05	0.014076
300.98	723310	1195.9	0.00083619	237990	238600	1133.3	915.83	1436.7	493.33	3.06E-09	0.00018814	0.079921	0.0077034	35.206	0.028405	393210	413750	1715.2	845.76	1050.4	143.66	0.000025022	1.18E-05	0.014111
301.32	730520	1194.6	0.00083712	238470	239090	1134.9	916.31	1438.2	491.75	6.00E-09	0.00018735	0.079775	0.0076583	35.563	0.028119	393380	413920	1715.1	846.85	1052.7	143.59	0.00002495	1.18E-05	0.014146
301.66	737790	1193.3	0.00083804	238960	239580	1136.5	916.79	1439.7	490.16	8.98E-09	0.00018656	0.079629	0.0076132	35.924	0.027837	393550	414090	1715	847.94	1055.1	143.51	0.000024879	1.18E-05	0.014181
302	745120	1191.9	0.00083897	239440	240070	1138.1	917.27	1441.3	488.58	1.20E-08	0.00018577	0.079483	0.0075682	36.287	0.027558	393720	414260	1714.9	849.04	1057.4	143.43	0.000024809	1.19E-05	0.014217
302.34	752500	1190.6	0.0008399	239930	240560	1139.7	917.76	1442.8	487	1.50E-08	0.00018498	0.079337	0.0075233	36.654	0.027282	393900	414430	1714.8	850.13	1059.8	143.35	0.000024739	1.19E-05	0.014252
302.68	759930	1189.3	0.00084084	240410	241050	1141.3	918.24	1444.3	485.41	1.81E-08	0.00018419	0.079191	0.0074784	37.024	0.02701	394070	414590	1714.7	851.23	1062.2	143.28	0.00002467	1.19E-05	0.014287
