Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
216.77	14128	1391.5	0.00071865	128290	128300	707.01	840.77	1234.2	896.21	-3.5242E-07	0.00056387	0.10508	0.021094	0.9027	1.1078	328630	344280	1703.3	663.94	740.21	131.45	0.000049173	7.25E-06	0.0071886
217.11	14437	1390.6	0.0007191	128710	128720	708.95	841	1234.5	894.65	-3.5195E-07	0.00056119	0.10494	0.021039	0.92113	1.0856	328840	344520	1702.9	664.64	740.97	131.53	0.000048982	7.28E-06	0.0072157
217.45	14751	1389.8	0.00071954	129130	129140	710.88	841.22	1234.8	893.1	-3.5147E-07	0.00055853	0.1048	0.020984	0.93987	1.064	329060	344760	1702.4	665.33	741.73	131.61	0.000048792	7.30E-06	0.0072428
217.79	15071	1388.9	0.00071999	129550	129560	712.81	841.44	1235.1	891.55	-0.000000351	0.00055588	0.10466	0.020928	0.95891	1.0428	329280	345000	1702	666.03	742.49	131.69	0.000048603	7.32E-06	0.0072699
218.13	15397	1388	0.00072044	129970	129980	714.73	841.67	1235.4	889.99	-3.5052E-07	0.00055324	0.10452	0.020873	0.97827	1.0222	329500	345240	1701.6	666.73	743.25	131.76	0.000048415	7.34E-06	0.007297
218.47	15728	1387.2	0.00072089	130390	130400	716.66	841.89	1235.7	888.44	-3.5003E-07	0.00055062	0.10438	0.020818	0.99794	1.0021	329720	345480	1701.1	667.43	744.01	131.84	0.000048228	7.36E-06	0.0073241
218.81	16065	1386.3	0.00072133	130810	130820	718.58	842.12	1236	886.89	-3.4955E-07	0.00054801	0.10424	0.020762	1.0179	0.98239	329940	345720	1700.7	668.13	744.77	131.92	0.000048042	0.000007385	0.0073511
219.15	16409	1385.5	0.00072178	131230	131250	720.5	842.35	1236.3	885.34	-3.4906E-07	0.00054541	0.10411	0.020707	1.0382	0.96317	330160	345960	1700.3	668.82	745.53	132	0.000047857	7.41E-06	0.0073782
219.49	16758	1384.6	0.00072223	131650	131670	722.41	842.58	1236.7	883.79	-3.4857E-07	0.00054283	0.10397	0.020652	1.0589	0.9444	330380	346200	1699.9	669.52	746.29	132.08	0.000047673	7.43E-06	0.0074052
219.83	17113	1383.7	0.00072269	132070	132090	724.33	842.81	1237	882.24	-3.4807E-07	0.00054026	0.10383	0.020597	1.0798	0.92607	330600	346450	1699.4	670.21	747.05	132.15	0.00004749	7.45E-06	0.0074322
